username,text,profile_pic_url,nationality
mohmed.essbai,✅✅✅✅✅✅✅😍😍😍😍😍,https://instagram.fbek1-3.fna.fbcdn.net/v/t51.2885-19/455692135_1851512522002958_5248459335420360373_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbek1-3.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Ke29SCtl8gYQ7kNvgFfLsUU&_nc_gid=2c4b5d1820d74bd3bf5c520e4a6ba5f6&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCgrn9DL_4IKWpsNmR08ORlvJ1Iks0Mroy31BLp4i9-hA&oe=66DE0AFE&_nc_sid=10d13b,
safarydickson,"NEW DAY, NEW BLESSINGS, NEW JOY.🌹🌹",https://instagram.fbek1-1.fna.fbcdn.net/v/t51.2885-19/246543224_621084812598561_3495559454469210713_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbek1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=rniO5GLHINcQ7kNvgFncyMM&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDBU3fouwxslkqfd01_ZKH5U-I3Ubh07HZpo6TrMQTAQw&oe=66DE1E14&_nc_sid=10d13b,Germany
ciliproom,❤️,https://instagram.fbek1-2.fna.fbcdn.net/v/t51.2885-19/458085329_433943875732762_5555395319632244956_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbek1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=btIVKoGJgiMQ7kNvgFCoIwS&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDJ40t7k4hxaJ31YvWv9p06ueP5W1F36YkibXVg_qmiyQ&oe=66DE17A3&_nc_sid=10d13b,
elkhatabi_adam,🔥,https://instagram.fntr6-3.fna.fbcdn.net/v/t51.2885-19/447291847_1648773605937899_5428994675508286483_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fntr6-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=LRohhRFppuMQ7kNvgHiiC9u&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCPpkvVgmzso_Qn01858ZnYe_qBqeW-ABx7FfHx3vZdYQ&oe=66DE1FAD&_nc_sid=10d13b,
maclainy,"@affluiz São profissionais totalmente diferentes, e de ÉPOCAS diferentes, um não invalida o outro, e tão pouco se validam mais que o outro !
Saiba dar valor ao que tem valor, sem desvalorizar a trajetória do profissional ! 🙄😉",https://instagram.fntr6-2.fna.fbcdn.net/v/t51.2885-19/128434659_1310064442661151_1642616559815366247_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fntr6-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=1SlC1JSDjVYQ7kNvgFQQ8ow&_nc_gid=66a58da5c9b54492b6f4d6bc5ae72a8f&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAet633om2wJrwEImzgB0Lwxf6Djq5K2yVX-PqnUNcoPA&oe=66DE2039&_nc_sid=10d13b,Portugal
badger.33415,🔥,https://instagram.fmji2-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fmji2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=nZJuW2sO_90Q7kNvgHi0xAt&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AYDr4vmDsQnPJDgnTSbJcK8PoFAJMnAcUnuYoIPcKcn-Mg&oe=66DE21CF&_nc_sid=65462d,
ram_gyi,🐐,https://instagram.fsyd6-1.fna.fbcdn.net/v/t51.2885-19/326085540_840637526995461_4666599824070859890_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsyd6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Ti3Ih2TD8-oQ7kNvgGkbJnB&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBDKehy2eaaTcq5frp0GPp-rLe8E5hiICGr-N09Z-uY0Q&oe=66DE1D68&_nc_sid=10d13b,
mo_hamd2571,کریس مادین خمسین ملیارد اخیی😂😂,https://instagram.fsyd6-1.fna.fbcdn.net/v/t51.2885-19/456455735_492168740108096_3565310770847503823_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsyd6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=4WJXYkTMQwwQ7kNvgFhIQth&_nc_gid=06b680566b6844ecbe12fb16f182e8dd&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYA_UOoBMuHokEV2S0vgaIf-rGuDv5qCveNxyLjS2LWCTw&oe=66DE0A51&_nc_sid=10d13b,Iran
nik_thakor_1305,Today will be 56.7M (.7 reason for Ronaldo 😍,https://instagram.fplu23-1.fna.fbcdn.net/v/t51.2885-19/436198808_1090804382219171_242005868521536964_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu23-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Ovy2WyLVy0EQ7kNvgH8OwKH&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAUuGCrYz-bFLZYH9UHBtO9cjDPlHI6LQNI_ThuO4jBGw&oe=66DE18AC&_nc_sid=10d13b,United States
thesatyamsir,Congratulations 🎉  @cristiano,https://instagram.fplu23-1.fna.fbcdn.net/v/t51.2885-19/405774951_335286359234681_7251344052440043630_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu23-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=C4Pm1BYwnNUQ7kNvgH4bjXP&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYD0j376FL8KhnTWzWk3EP-6psEuRBuejZrpxpfyGgwTyQ&oe=66DE36E1&_nc_sid=10d13b,United States
